sepallength,sepalwidth,petallength,petalwidth,class
(6.15; Inf],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(4.75;5.15],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(4.75;5.15],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(0.8;1.75],Iris-versicolor
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(5.55;6.15],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-versicolor
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
[-Inf;5.55],[-Inf;3.35],(2.45;4.75],(0.8;1.75],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],(3.35; Inf],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(0.8;1.75],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(0.8;1.75],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],(3.35; Inf],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(4.75;5.15],(0.8;1.75],Iris-virginica
(5.55;6.15],[-Inf;3.35],(5.15; Inf],(0.8;1.75],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],(3.35; Inf],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(5.55;6.15],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(4.75;5.15],(1.75; Inf],Iris-virginica
(6.15; Inf],[-Inf;3.35],(5.15; Inf],(1.75; Inf],Iris-virginica
(6.15; Inf],(3.35; Inf],(5.15; Inf],(1.75; Inf],Iris-virginica
