sepallength:=:(5.55;6.15],sepallength:=:(6.15; Inf],sepallength:=:[-Inf;5.55],sepalwidth:=:(3.35; Inf],sepalwidth:=:[-Inf;3.35],petallength:=:(2.6;4.75],petallength:=:(4.75; Inf],petallength:=:[-Inf;2.6],petalwidth:=:(0.8;1.65],petalwidth:=:(1.65; Inf],petalwidth:=:[-Inf;0.8],class:=:Iris-setosa,class:=:Iris-versicolor,class:=:Iris-virginica
0,1,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,0,1,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,1,1,0,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,1,0,0,0,1,0
0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,0,1,0,1,1,0,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,1,0,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,1,0,0,0,0,1
1,0,0,0,1,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,0,1,0,1,0,0,1,0,0,0,1
0,1,0,1,0,0,1,0,0,1,0,0,0,1
1,0,0,0,1,0,1,0,0,1,0,0,0,1
